,Group,Manual Title (Document Number),Page Number,Section Number,Table Number
1,RX64M Group,RX64M Group User's Manual: Hardware Rev.1.10 (R01UH0377EJ0110),Page 872 of 2936,24.2.6,Table 24.25
2,"RX65N Group, RX651 Group","RX65N Group, RX651 Group User's Manual: Hardware Rev.2.10 (R01UH0590EJ0210)",Page 903 of 2695,24.2.6,Table 24.25
3,RX71M Group,RX71M Group User's Manual: Hardware Rev.1.10 (R01UH0493EJ0110),Page 878 of 2952,24.2.6,Table 24.25
