,Part number,Description
1,DA14531-00FXDEVKT-P,"Bluetooth Low Energy Development Kit Pro for DA14531: Includes motherboard, daughterboard and cables; Primary usage is SW application development and power measurements"
2,DA14531-00FXDEVKT-U,Bluetooth Low Energy Development Kit USB for DA14531: Includes USB board; Primary usage is SW application development
3,DA14531-00FXDB-P,Bluetooth Low Energy DA14531 FCGQFN24 daughterboard for the DA14531 DEVKT-P Pro motherboard
4,DA14531-00OGDB-P,Bluetooth Low Energy DA14531 WLCSP17 daughterboard for the DA14531 DEVKT-P Pro motherboard
