,Product Category,MPU/MCU,Document No.,TN-RX *- A121A/E,Rev.,1.00,
1,Title,Add restrictions for falling time of input signal,Information Category,Technical Notification,,,
2,Applicable Product,RX62T Group RX62G Group RX63T Group,Reference Document,"RX62T Group, RX62G Group User's Manual: Hardware Rev.2.00 (R01UH0034EJ0200) RX63T Group User's Manual: Hardware Rev.2.10 (R01UH0238EJ0210)",,,Lot No.
3,,,,,,,All lots
