,RAM size,RAM (yyyyyH to FFEFFH)
1,1 Kbytes,1024 x 8 bits (FFB00H to FFEFFH)
2,2 Kbytes,2048 x 8 bits (FF700H to FFEFFH)
3,3 Kbytes,3072 x 8 bits (FF300H to FFEFFH)
4,4 Kbytes,4096 x 8 bits (FEF00H to FFEFFH)
5,6 Kbytes,6144 x 8 bits (FE700H to FFEFFH)
6,8 Kbytes,8192 x 8 bits (FDF00H to FFEFFH)
