,Function,Part numbers,,,,,
1,,"R7FA6M3AF2CBG
R7FA6M3AH2CBG/","R7FA6M3AF3CFC
R7FA6M3AH3CFC/","R7FA6M3AF2CLK
R7FA6M3AH2CLK/","R7FA6M3AH3CFB/
R7FA6M3AF3CFB","R7FA6M3AH3CFP/
R7FA6M3AF3CFP",
2,I/O ports,124,,101,,67,I/O pins
3,,9,,9,,9,Input pins
4,,125,,102,,68,Pull-up resistors
5,,124,,101,,67,N-ch open-drain outputs
6,,17,,21,,14,5-V tolerance
