,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,224-pin BGA PLBG0224GD-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-9 compliant),21.5
2,176-pin LQFP PLQP0176KJ-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),32.0
