,Product Category,MPU/MCU,Document No.,TN-RX *- A0267A/E,Rev.,1.00
1,Title,Addition of the Sub-section on Rewriting Flash Memory When Using Dual Mode,Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX26T Group, RX65N Group, RX651 Group, RX66N Group, RX671 Group, All RX72M Group, RX72N Group",Reference Document,User's Manual: Hardware for the applicable products listed in the table on the next page,,
