,Category,Feature
1,e 2 studio CDT Required Features,C/C++ Development Tools
2,,C/C++ GDB Hardware Debugging
3,,C/C++ Memory View Enhancements
4,,CDT Common GDB Support
5,Renesas Core Feature,Renesas Core Feature
6,Renesas Core Model Feature,Renesas Core Model Feature
