,Product Category,MPU/MCU,Document No.,TN-RA *- A0032A/E,Rev.,1.00
1,Title,"RA2A1 Group, RA4M1 Group, RA4W1 Group, RA6M1 Group, RA6M2 Group, RA6M3 Group, addition of CTSU register bits (CTSUERRS)",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2A1 Group RA4M1 Group RA4W1 Group RA6M1 Group All RA6M2 Group RA6M3 Group,Reference Document,RA2A1 Group User's Manual Hardware Rev.1.00,,
3,,,,RA4M1 Group User's Manual Hardware Rev.1.00 RA4W1 Group User's Manual Hardware Rev.1.00 RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.10 RA6M3 Group User's Manual Hardware Rev.1.10,,
