,Product Category,MPU/MCU,Document No.,TN-RA *- A0057A/E,Rev.,1.00
1,Title,Correction for SNZEDCR0 and Pin Lists descriptions in RA2E1 User's Manual,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2E1 Group All,Reference Document,Renesas RA2E1 Group User's Manual : Hardware Rev1.20,,
