,Product Category,MPU/MCU,Document No.,TN-RA *- A0003A/E,Rev.,1.00
1,Title,Errata for User's Manual: Hardware for SCE7,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6M1 Group RA6M2 Group RA6M3 Group All,Reference Document,RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.00 RA6M3 Group User's Manual Hardware Rev.1.00,,
