,Applicable Product,Manual,Rev.,Document Number,Section Number (Page Number)
1,RX230 Group RX231 Group,"RX230 Group, RX231 Group User's Manual: Hardware",Rev.1.10,R01UH0496EJ0110,42.2.1 (page 1623) 42.2.18 (page 1642)
2,RX130 Group,RX130 Group User's Manual: Hardware,Rev.1.00,R01UH0560EJ0100,31.2.1 (page 995) 31.2.18 (page 1014)
