,Product Category,MPU/MCU,Document No.,TN-RX *- A148A/E,Rev.,1.00,
1,Title,Corrections to descriptions for the timer I/O control register of the multi-function timer pulse unit 2 (MTU2a),Information Category,Technical Notification,,,
2,Applicable Product,"RX230 Group, RX231 Group, RX130 Group, RX113 Group, RX111 Group, RX634 Group",Reference Document,User's Manual: Hardware for applicable products (see page 2.),,,Lot No.
3,,,,,,,All
