,,Series,Group,Title,Rev.,Document No.
1,,RX600,RX630,"RX630 group User's Manual, Hardware section",1.50,R01UH0040EJ0150
2,,,"RX63N, RX631","RX63N group, RX631 group User's Manual, Hardware section",1.70,R01UH0041EJ0170
3,,,RX63T,"RX63T group User's Manual, Hardware section",2.10,R01UH0238EJ0210
4,,RX200,RX210,"RX210 group User's Manual, Hardware section",1.40,R01UH0037EJ0140
5,,,RX21A,"RX21A group User's Manual, Hardware section",1.00,R01UH0251EJ0100
6,,,RX220,"RX220 group User's Manual, Hardware section",1.00,R01UH0292EJ0100
7,,RX100,RX111,"RX111 group User's Manual, Hardware section",1.00,R01UH0365EJ0100
