,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,sci_spi,Supported,,
3,sci_uart,Supported,Supported,Supported
4,sdhi,Supported,,
5,spi,Supported,Supported,Supported
6,ssi,Supported,,
7,ssi_slave,Supported,,
8,usb_composite,Supported,,
9,usb_pcdc,Supported,,
10,usb_phid,Supported,,
11,usb_pmsc,Supported,,
12,usb_pvnd,Supported,,
13,vee_flash,Supported,,
14,wdt,Supported,Supported,Supported
