,Bit,Symbol,Bit Name,Functions,R/W
1,14:0,,Reserved Bits,These bits are read as 0.,R
2,15,CTSUICOMP,TSCAP Voltage Error Monitor Bit,This bit monitors the error status of the TSCAP voltage 0: Normal TSCAP voltage 1: Abnormal TSCAP voltage.,R
