,Product Category,MPU/MCU,Document No.,TN-RL *- A084A/E,Rev.,1.00
1,Title,Notice of LVD circuit characteristics change (grade Y),Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RL78/F13, F14 products (grade Y) All Lots",Reference Document,"RL78/F13, F14 User's Manual: Hardware",,
