,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_qspi_LevelX,Supported,,
3,"FileX_block_media_sdmmc
:selected:",Supported,,
4,"NetX_crypto
:selected:",Supported,,
5,"NetX_dhcpv4_client
:selected:",Supported,,
6,"NetX_dhcpv4_server
:selected:",Supported,,
7,"NetX_dhcpv6_client
:selected:",Supported,,
8,NetX_dhcpv6_server,Supported,,
9,NetX_ftp_client,Supported,,
10,"NetX_ftp_server
:selected:",Supported,,
11,"NetX_https_client
:selected:",Supported,,
12,"NetX_smtp_client
:selected:",Supported,,
13,"NetX_snmp_agent
:selected:",Supported,,
14,"NetX_sntp_client
:selected:",Supported,,
15,NetX_wifi,Supported,,
16,USBX_hcdc_acm,Supported,,
17,USBX_hhid,Supported,,
18,USBX_hmsc,Supported,,
19,"USBX_host_hub
:selected:",Supported,,
20,"USBX_hprn
:selected:",Supported,,
21,USBX_paud,Supported,,
22,USBX_pcdc_acm,Supported,,
23,USBX_phid,Supported,,
24,USBX_pmsc,Supported,,
25,USBX_pprn,Supported,,
26,quickstart,Supported,,
27,adc,Supported,,
28,adc_gpt_periodic_sampling,Supported,,
29,agt,Supported,Supported,Supported
30,audio_playback_pwm,Supported,,
31,cac,Supported,,
32,can,Supported,,
33,cpp,Supported,,
34,crc,Supported,,
35,dac,Supported,,
36,dac_agt_periodic_signal_generator,Supported,,
37,dma_spi,Supported,,
38,dmac,Supported,Supported,Supported
