,Service contents,Time of the service discontinuation
1,Technical support (from Web) - information service (tool news),Whichever lasts long: one year after the end of sales of Vm.n (last revision) or 5 years after Vm.n is released
2,Bug fix,One year after the end of sales of Vm.n (when incorrect codes are output and there is no workarounds)
