,,Rev 3.2,Rev 3.3,
1,sec 5.3 table6: DC Characteristics,,,
2,parameter,typ,typ,unit
3,BAT_HIBERN,2,6.8,HA
4,BAT_DP_SLP,3,10,HA
5,BAT_EX_SLP_16K_64K,4.2,12.3,HA
6,BAT_EX_SLP_16K_128K,4.7,13.1,HA
7,BAT_EX_SLP_16K_256K,5.4,14.9,HA
8,BAT_EX_SLP_16K_384K,6.3,16.7,
9,BAT_EX_SLP_16K_512K,7.7,18.4,HA
10,BAT_Gearbox,41,74,HA
11,BAT_BLE_RX_32M,4.5,4.9,mA
12,I BAT_BLE_TX_32M,5.6,5.8,mA
13,BAT_BLE_RX_96M,6.5,7,mA
14,IBAT_BLE_TX_96M,7.6,7.8,mA
