,SSIFTDR.O,"[31:0]
[31:0]"
1,SSIFTDR.1,[31:0]
2,SSIFTDR.2,
3,SSIFTDR.3,[31:0]
4,SSIFTDR.4,"[31:0]
[31:0] [31:0]"
5,SSIFTDR.5,
6,SSIFTDR.6,
7,. . .,[31:0]
8,,[31:0]
9,,[31:0]
10,SSIFTDR.26,[31:0]
11,SSIFTDR.27,[31:0]
12,SSIFTDR.28,[31:0]
13,SSIFTDR.29,[31:0]
14,SSIFTDR.30,"[31:0]
[31:0]"
15,SSIFTDR.31,
16,Write pointer(WP),
17,Read pointer(RP),
