,Product Category,MPU/MCU,Document No.,TN-RA *- A0069A/E,Rev.,1.00,
1,Title,"RA6M4 Group, RA4M3 Group, adding 64 pin BGA packages with operating temperature -40 to +105 C support",Information Category,Technical Notification,,,
2,Applicable Product,RA6M4 Group RA4M3 Group,Reference Document,RA6M4 Group User's Manual Hardware Rev.1.20 RA4M3 Group User's Manual Hardware Rev.1.30,,,Lot No. All
