,Product Category,MPU/MCU,Document No.,TN-RA *- A0075A/E,Rev.,1.00,
1,Title,Addition to the Electrical Characteristics for the IIC of the RA6T2 Group MCU Products,Information Category,Technical Notification,,,
2,Applicable Product,RA6T2 Group,Reference Document,RA6T2 Group User's Manual : Hardware Rev.1.30,,,Lot No.
3,,,,,,,All
