,Product Category,MPU/MCU,Document No.,TN-RA *- A0101A/E,Rev.,1.00
1,Title,Precaution of TPIU register access without connection of OCD emulator,Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RA6M4 Group, RA6M5 Group, RA6E1 Group, RA6T2 Group, RA4M2 Group, RA4M3 Group, All RA4E1 Group",Reference Document,Refer table at the end of this document,,
