,Product Category,MPU/MCU,Document No.,TN-RX *- A021A/E,Rev.,1.00,
1,Title,Addition and Change to Specifications regarding Settings for Main Clock Oscillator and PLL Wait Control Registers and Clock Oscillation Stabilization Wait Time,Information Category,Technical Notification,,,
2,Applicable Product,"RX630 Group, RX63N Group RX631 Group, RX63T Group",Reference Document,User's Manual: Hardware for Applicable Products (see the table at the end of this document),,,Lot No. All
