,Product Category,MPU/MCU,Document No.,TN-RX *- A0235B/E,Rev.,2.00
1,Title,Notes on the Transmit Data Empty Interrupt When the FIFO is in Use with the Serial Communications Interface (SCI),Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX65N Group, RX651 Group, RX66N Group, RX72N Group, RX72M Group, All RX66T Group, RX72T Group",Reference Document,User's Manual: Hardware for applicable products (see the table at the last page),,
