,Product Category,MPU/MCU,Document No.,TN-RA *- A0074A/E,Rev.,1.00,
1,Title,"Correction for ""13C Bus Interface"" in RA2E2 User's Manual",Information Category,Technical Notification,,,
2,Applicable Product,RA Family RA2E2 Group,Reference Document,Renesas RA2E2 Group User's Manual: Hardware R01UH0919EJ0110 Rev.1.10,,,Lot No. All lots
