,#,File Name,Description
1,1,rext_sky66111-11_v1.1.zip,RELEASE FILE
2,2,UM-B-089_DA14585_Range_Extender_Reference_Application_v1.1.pdf,USER MANUAL
3,3,DA14585_Range_Extender_SW_Release_Notes_v_1.1.pdf,RELEASE NOTES
