,Group,Manual Title (Document Number)
1,RX26T,RX26T Group User's Manual: Hardware Rev.1.01 (R01UH0979EJ0101)
2,RX65N and RX651,"RX65N Group, RX651 Group User's Manual: Hardware Rev.2.30 (R01UH0590EJ0230)"
3,RX66N,RX66N Group User's Manual: Hardware Rev.1.11 (R01UH0825EJ0111)
4,RX671,RX671 Group User's Manual: Hardware Rev.1.10 (R01UH0899EJ0110)
5,RX72M,RX72M Group User's Manual: Hardware Rev.1.11 (R01UH0804EJ0111)
6,RX72N,RX72N Group User's Manual: Hardware Rev.1.11 (R01UH0824EJ0111)
