,Product Category,MPU/MCU,Document No.,TN-RA *- A0053A/E,Rev.,1.00,
1,Title,RA6T2 Group Electric Specification,Information Category,Technical Notification,,,
2,Applicable Product,RA6T2 Group,Reference Document,RA6T2 Group User's Manual : Hardware Rev.1.10,,,Lot No. All
