,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA4E10D2CFM,PLQP0064KB-C,512KB,8KB,128KB
2,R7FA4E10D2CNE,PWQN0048KC-A,,,
3,R7FA4E10B2CFM,PLQP0064KB-C,256KB,8KB,128KB
4,R7FA4E10B2CNE,PWQN0048KC-A,,,
