,Product Category,MPU/MCU,Document No.,TN-RA *- A0001A/E,Rev.,1.00
1,Title,Errata for User's Manual: Hardware regarding the overview,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2A1 Group All,Reference Document,RA2A1 Group User's Manual: Hardware Rev.1.00,,
