,No,Group,Product part number,Package code
1,1,RA2E1,R7FA2E1A72DBU,PVBG0064L*
2,2,RA2E1,R7FA2E1A73CBU,PVBG0064L*
3,3,RA2E1,R7FA2E1A92DBU,PVBG0064L*
4,4,RA2E1,R7FA2E1A93CBU,PVBG0064L*
5,5,RA2E1,R7FA2E1A52DFJ,PLQP0032G*
6,6,RA2E1,R7FA2E1A53CFJ,PLQP0032G*
7,7,RA2E1,R7FA2E1A72DFJ,PLQP0032G*
8,8,RA2E1,R7FA2E1A73CFJ,PLQP0032G*
9,9,RA2E1,R7FA2E1A92DFJ,PLQP0032G*
10,10,RA2E1,R7FA2E1A93CFJ,PLQP0032G*
11,11,RA2E1,R7FA2E1A72DFK,PLQP0064G*
12,12,RA2E1,R7FA2E1A73CFK,PLQP0064G*
13,13,RA2E1,R7FA2E1A92DFK,PLQP0064G*
14,14,RA2E1,R7FA2E1A93CFK,PLQP0064G*
15,15,RA2E1,R7FA2E1A52DFL,PLQP0048K*
16,16,RA2E1,R7FA2E1A53CFL,PLQP0048K*
17,17,RA2E1,R7FA2E1A72DFL,PLQP0048K*
18,18,RA2E1,R7FA2E1A73CFL,PLQP0048K*
19,19,RA2E1,R7FA2E1A92DFL,PLQP0048K*
20,20,RA2E1,R7FA2E1A93CFL,PLQP0048K*
21,21,RA2E1,R7FA2E1A72DFM,PLQP0064K*
22,22,RA2E1,R7FA2E1A73CFM,PLQP0064K*
23,23,RA2E1,R7FA2E1A92DFM,PLQP0064K*
24,24,RA2E1,R7FA2E1A93CFM,PLQP0064K*
25,25,RA2E1,R7FA2E1A52DLM,PWLG0036K*
26,26,RA2E1,R7FA2E1A53CLM,PWLG0036K*
27,27,RA2E1,R7FA2E1A72DLM,PWLG0036K*
28,28,RA2E1,R7FA2E1A73CLM,PWLG0036K*
29,29,RA2E1,R7FA2E1A92DLM,PWLG0036K*
30,30,RA2E1,R7FA2E1A93CLM,PWLG0036K*
31,31,RA2E1,R7FA2E1A52DNE,PWQN0048K*
32,32,RA2E1,R7FA2E1A53CNE,PWQN0048K*
33,33,RA2E1,R7FA2E1A72DNE,PWQN0048K*
34,34,RA2E1,R7FA2E1A73CNE,PWQN0048K*
35,35,RA2E1,R7FA2E1A92DNE,PWQN0048K*
36,36,RA2E1,R7FA2E1A93CNE,PWQN0048K*
37,37,RA2E1,R7FA2E1A52DNH,PWQN0032K*
38,38,RA2E1,R7FA2E1A53CNH,PWQN0032K*
39,39,RA2E1,R7FA2E1A72DNH,PWQN0032K*
40,40,RA2E1,R7FA2E1A73CNH,PWQN0032K*
41,41,RA2E1,R7FA2E1A92DNH,PWQN0032K*
42,42,RA2E1,R7FA2E1A93CNH,PWQN0032K*
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
