,Name,Address,Access size,R/W,Initial value
1,MEMTYPE,0x4001_AFCC,32 bits,R,0000 0001h
2,PIDR4,0x4001_AFDO,32 bits,R,0000 0004h
3,PIDR5,0x4001_AFD4,32 bits,R,0000 0000h
4,PIDR6,0x4001_AFD8,32 bits,R,0000 0000h
5,PIDR7,0x4001_AFDC,32 bits,R,0000 0000h
6,PIDRO,0x4001_AFEO,32 bits,R,0000 001Bh
7,PIDR1,0x4001_AFE4,32 bits,R,0000 0030h
8,PIDR2,0x4001_AFE8,32 bits,R,0000 000Ah
9,PIDR3,0x4001_AFEC,32 bits,R,0000 0000h
10,CIDRO,0x4001_AFFO,32 bits,R,0000 000Dh
11,CIDR1,0x4001_AFF4,32 bits,R,0000 0010h
12,CIDR2,0x4001_AFF8,32 bits,R,0000 0005h
13,CIDR3,0x4001_AFFC,32 bits,R,0000 00B1h
