,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,-,Mar.30.21,First release document.
3,1.01,-,Apr.23.21,"Added AWS HTTPS CLIENT, CAN FD."
4,1.02,-,May.03.21,Added support for FSP v3.0.0.
5,1.03,-,May.13.21,"Added support for FSP v3.0.0 (2).
:selected:"
6,1.04,-,Jun.16.21,"Added support for FSP v3.0.0 (4).
:selected:"
7,1.05,-,Jul.12.21,Added support for FSP v3.1.0 (1).
8,1.06,-,Jul.26.21,"Added support for FSP v3.1.0 (2).
:selected:"
9,1.07,-,Aug.31.21,"Added support for FSP v3.1.0 (3).
:selected:"
10,1.08,-,Sep.10.21,Added support for FSP v3.2.0.
11,1.09,-,Sep.29.21,"Added support for FSP v3.3.0 (2).
:selected:"
12,1.10,-,Oct.20.21,"Added support for FSP v3.4.0 (2).
:selected:"
13,1.11,-,Dec.20.21,"Added support for FSP v3.5.0 (2).
:selected:"
14,1.12,-,Mar.21.22,Added support for FSP v3.6.0.
15,1.13,-,Apr.11.22,Added support for FSP v3.6.0 (2).
16,1.14,-,Jul.18.22,Added support for FSP v3.8.0 (1).
17,1.15,-,Aug.11.22,"Added support for FSP v3.8.0 (2).
:selected:"
18,1.16,-,Sep.20.22,Added support for FSP v4.0.0.
19,1.17,-,Oct.17.22,"Added support for FSP v4.0.0 (2).
:selected:"
20,1.18,-,Nov.14.22,Added support for FSP v4.1.0 (1).
21,1.19,-,Dec.01.22,"Added support for FSP v4.1.0 (2).
:selected:"
22,1.20,-,Jan.10.23,Added support for FSP v4.2.0 (1).
23,1.21,-,Mar.24.23,Added support for FSP v4.3.0 (2).
24,1.22,-,Apr.28.23,Added support for FSP v4.4.0 (1).
25,1.23,-,Jun.01.23,Added support for FSP v4.4.0 (2).
26,1.24,-,Jul.17.23,Added support for FSP v4.5.0 (1).
27,1.25,-,Sep.18.23,Added support for FSP 4.5.0 (2).
28,1.26,-,Sep.26.23,Added support for FSP v4.6.0 (1).
29,1.27,-,Oct.23.23,Added support for FSP v4.6.0 (2).
30,1.28,-,Nov.06.23,Added support for FSP v5.0.0 (2).
31,1.29,-,Dec.05.23,Added support for FSP v5.0.0 (3).
32,1.30,-,Dec.19.23,"Added support for FSP v5.1.0 (2).
:selected:"
