,Rev.,Date,Description,
1,,,Page,Summary
2,1.00,Dec.24.21,All,First edition issued.
3,1.10,"Jun. 15, 22","Page 4, 5, and 7","Add package of QFN (PWQN0064LB-A , PWQN0048KC-A)"
