,Product Category,MPU/MCU,Document No.,TN-RX *- A030A/E,Rev.,1.00,
1,Title,Caution on Clearing the Comparator Detection Flag,Information Category,Technical Notification,,,
2,Applicable Product,"RX62T Group, RX62G Group, and RX63T Group",Reference Document,RX62T Group User's Manual: Hardware RX62G Group User's Manual: Hardware RX63T Group User's Manual: Hardware,,,Lot No.
3,,,,,,,All lots
