,Product Category,MPU/MCU,Document No.,TN-RA *- A0039A/E,Rev.,1.00,
1,Title,"RA6E1 Group, correction of Pin list and IO ports",Information Category,Technical Notification,,,
2,Applicable Product,RA6E1 Group,Reference Document,RA6E1 Group User's Manual Hardware Rev.1.00,,,Lot No. All
