,Product Category,MPU/MCU,Document No.,TN-RX *- A150A/E,Rev.,1.00,
1,Title,Additions and Corrections Regarding the Descriptions of the Main Clock Oscillator in the User's Manual: Hardware,Information Category,Technical Notification,,,
2,Applicable Product,RX64M Group RX71M Group,Reference Document,RX64M Group User's Manual: Hardware Rev.1.00 (R01UH0377EJ0100) RX71M Group User's Manual: Hardware Rev.1.00 (R01UH0493EJ0100),,,Lot No.
3,,,,,,,All
