,ROM size,Code flash memory (00000H to xxxxxH)
1,32 Kbytes,32768 x 8 bits (00000H to 07FFFH) Note2
2,48 Kbytes,49152 x 8 bits (00000H to 0BFFFH) Note2
3,64 Kbytes,65536 x 8 bits (00000H to 0FFFFH)
4,96 Kbytes,98304 x 8 bits (00000H to 17FFFH) Note3
5,128 Kbytes,131072 x 8 bits (00000H to 1FFFFH)
