,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,usb_phid,Supported,,
3,usb_pvnd,Supported,,
4,vee_flash,Supported,,
5,wdt,Supported,Supported,Supported
