,Name,Address,Access size,R/W,Initial value
1,PIDR4,0x4001_BFD0,32 bits,R,0x00000004
2,PIDR5,0x4001_BFD4,32 bits,R,0x00000000
3,PIDRO,0x4001_BFD8,32 bits,R,0x00000000
4,PIDR7,0x4001_BFDC,32 bits,R,0x00000000
5,PIDRO,0x4001_BFE0,32 bits,R,0x00000005
6,PIDR1,0x4001_BFE4,32 bits,R,0x00000030
7,PIDR2,0x4001_BFE8,32 bits,R,0x0000001A
8,PIDR3,0x4001_BFEC,32 bits,R,0x00000000
9,CIDRO,0x4001_BFF0,32 bits,R,0x0000000D
10,CIDR1,0x4001_BFF4,32 bits,R,0x000000F0
11,CIDR2,0x4001_BFF8,32 bits,R,0x00000005
12,CIDR3,0x4001_BFFC,32 bits,R,0x000000B1
