,Name Version,Id
1,:selected: Autotools support for CDT 3.0.1.201307181744,org.eclipse.cdt.autotools.feature.group
2,:selected: - C/C++ Development Tools 8.1.2.201307181744,org.eclipse.cdt.feature.group
3,:selected: C/C++ Development Tools SDK 8.1.2.201307181744,org.eclipse.cdt.sdk.feature.group
4,:selected: C/C++ GCC Cross Compiler Support 1.1.0.201307181744,org.eclipse.cdt.build.crossgcc.feature.gro ...
5,:selected: - C/C++ GDB Hardware Debugging 7.0.0.201307181744,org.eclipse.cdt.debug.gdbjtag.feature.gr ...
6,:selected: C/C++ Memory View Enhancements 2.2.0.201307181744,org.eclipse.cdt.debug.ui.memory.feature ...
7,:selected: - C/C++ Remote Launch 6.0.0.201307181744,org.eclipse.cdt.launch.remote.feature.gr ...
8,:selected: C/C++ Unit Testing Support 7.0.0.201307181744,org.eclipse.cdt.testsrunner.feature.featur ...
9,:selected: CDT Visual C++ Support 1.0.0.201307181744,org.eclipse.cdt.msw.feature.group
