,No,Group,Product part number,Package code
1,1,RA6M5,R7FA6M5AG2CBG,PLBG0176G*
2,2,RA6M5,R7FA6M5AH2CBG,PLBG0176G*
3,3,RA6M5,R7FA6M5BF2CBG,PLBG0176G*
4,4,RA6M5,R7FA6M5BG2CBG,PLBG0176G*
5,5,RA6M5,R7FA6M5BH2CBG,PLBG0176G*
6,6,RA6M5,R7FA6M5AG2CBM,PLBG0144K*
7,7,RA6M5,R7FA6M5AG3CBM,PLBG0144K*
8,8,RA6M5,R7FA6M5AH2CBM,PLBG0144K*
9,9,RA6M5,R7FA6M5AH3CBM,PLBG0144K*
10,10,RA6M5,R7FA6M5BF2CBM,PLBG0144K*
11,11,RA6M5,R7FA6M5BF3CBM,PLBG0144K*
12,12,RA6M5,R7FA6M5BG2CBM,PLBG0144K*
13,13,RA6M5,R7FA6M5BG3CBM,PLBG0144K*
14,14,RA6M5,R7FA6M5BH2CBM,PLBG0144K*
15,15,RA6M5,R7FA6M5BH3CBM,PLBG0144K*
16,16,RA6M5,R7FA6M5AG3CFB,PLQP0144K*
17,17,RA6M5,R7FA6M5AH3CFB,PLQP0144K*
18,18,RA6M5,R7FA6M5BF3CFB,PLQP0144K*
19,19,RA6M5,R7FA6M5BG3CFB,PLQP0144K*
20,20,RA6M5,R7FA6M5BH3CFB,PLQP0144K*
21,21,RA6M5,R7FA6M5ZH3CFB,PLQP0144K*
22,22,RA6M5,R7FA6M5AG3CFC,PLQP0176K*
23,23,RA6M5,R7FA6M5AH3CFC,PLQP0176K*
24,24,RA6M5,R7FA6M5BF3CFC,PLQP0176K*
25,25,RA6M5,R7FA6M5BG3CFC,PLQP0176K*
26,26,RA6M5,R7FA6M5BH3CFC,PLQP0176K*
27,27,RA6M5,R7FA6M5AG3CFP,PLQP0100K*
28,28,RA6M5,R7FA6M5AH3CFP,PLQP0100K*
29,29,RA6M5,R7FA6M5BF3CFP,PLQP0100K*
30,30,RA6M5,R7FA6M5BG3CFP,PLQP0100K*
31,31,RA6M5,R7FA6M5BH3CFP,PLQP0100K*
32,32,,,
33,33,,,
34,34,,,
35,35,,,
36,36,,,
37,37,,,
38,38,,,
39,39,,,
40,40,,,
41,41,,,
42,42,,,
43,43,,,
44,44,,,
45,45,,,
46,46,,,
47,47,,,
48,48,,,
49,49,,,
50,50,,,
