,Product Category,MPU/MCU,Document No.,TN-RA *- A0002A/E,Rev.,1.00,
1,Title,Errata for User's Manual: Hardware for accessing data flash without using a device driver,Information Category,Technical Notification,,,
2,Applicable Product,RA2A1 Group RA4M1 Group,Reference Document,RA2A1 Group User's Manual Hardware Rev.1.00 RA4M1 Group User's Manual Hardware Rev.1.00,,,Lot No.
3,,,,,,,All
