,No,Group,Product part number,Package code
1,51,RL78/G23,R7F100GMG2DFA,PLQP0080J*
2,52,RL78/G23,R7F100GMG3CFA,PLQP0080J*
3,53,RL78/G23,R7F100GMH2DFA,PLQP0080J*
4,54,RL78/G23,R7F100GMH3CFA,PLQP0080J*
5,55,RL78/G23,R7F100GMJ2DFA,PLQP0080J*
6,56,RL78/G23,R7F100GMJ3CFA,PLQP0080J*
7,57,RL78/G23,R7F100GBH2DFP,PLQP0032G*
8,58,RL78/G23,R7F100GBH3CFP,PLQP0032G*
9,59,RL78/G23,R7F100GBJ2DFP,PLQP0032G*
10,60,RL78/G23,R7F100GBJ3CFP,PLQP0032G*
11,61,RL78/G23,R7F100GJH2DFA,PLQP0052J*
12,62,RL78/G23,R7F100GJH3CFA,PLQP0052J*
13,63,RL78/G23,R7F100GJJ2DFA,PLQP0052J*
14,64,RL78/G23,R7F100GJJ3CFA,PLQP0052J*
15,65,RL78/G23,R7F100GMK2DFA,PLQP0080J*
16,66,RL78/G23,R7F100GMK2DFB,PLQP0080K*
17,67,RL78/G23,R7F100GMK3CFA,PLQP0080J*
18,58,RL78/G23,R7F100GMK3CFB,PLQP0080K*
19,69,RL78/G23,R7F100GML2DFA,PLQP0080J*
20,70,RL78/G23,R7F100GML2DFB,PLQP0080K*
21,71,RL78/G23,R7F100GML3CFA,PLQP0080J*
22,72,RL78/G23,R7F100GML3CFB,PLQP0080K*
23,73,RL78/G23,R7F100GMN2DFA,PLQP0080J*
24,74,RL78/G23,R7F100GMN2DFB,PLQP0080K*
25,75,RL78/G23,R7F100GMN3CFA,PLQP0080J*
26,76,RL78/G23,R7F100GMN3CFB,PLQP0080K*
27,77,RL78/G23,R7F100GJK2DFA,PLQP0052J*
28,78,RL78/G23,R7F100GJK3CFA,PLQP0052]*
29,79,RL78/G23,R7F100GJL2DFA,PLQP0052J*
30,80,RL78/G23,R7F100GJL3CFA,PLQP0052J*
31,81,RL78/G23,R7F100GJN2DFA,PLQP0052]*
32,82,RL78/G23,R7F100GJN3CFA,PLQP0052J*
33,83,RL78/G23,R7F100GFK2DFP,PLQP0044G*
34,84,RL78/G23,R7F100GFK3CFP,PLQP0044G*
35,85,RL78/G23,R7F100GFL2DFP,PLQP0044G*
36,86,RL78/G23,R7F100GFL3CFP,PLQP0044G*
37,87,RL78/G23,R7F100GFN2DFP,PLQP0044G*
38,88,RL78/G23,R7F100GFN3CFP,PLQP0044G*
39,89,RL78/G23,R7F100GLK2DFA,PLQP0064J*
40,90,RL78/G23,R7F100GLK3CFA,PLQP0064J*
41,91,RL78/G23,R7F100GLL2DFA,PLQP0064J*
42,92,RL78/G23,R7F100GLL3CFA,PLQP0064J*
43,93,RL78/G23,R7F100GLN2DFA,PLQP0064J*
44,94,RL78/G23,R7F100GLN3CFA,PLQP0064J*
45,95,RL78/G23,R7F100GPG2DFA,PLQP0100J*
46,96,RL78/G23,R7F100GPG3CFA,PLQP0100J*
47,97,RL78/G23,R7F100GPH2DFA,PLQP0100J*
48,98,RL78/G23,R7F100GPH3CFA,PLQP0100J*
49,99,RL78/G23,R7F100GPJ2DFA,PLQP0100J*
50,100,RL78/G23,R7F100GPJ3CFA,PLQP0100J*
