,Name,Address,Access size,R/W,Initial value
1,PID6,0x4001_BFD8,32 bits,R,0x00000000
2,PID7,0x4001_BFDC,32 bits,R,0x00000000
3,PIDO,0x4001_BFE0,32 bits,R,0x00000005
4,PID1,0x4001_BFE4,32 bits,R,0x00000030
5,PID2,0x4001_BFE8,32 bits,R,0x0000001A
6,PID3,0x4001_BFEC,32 bits,R,0x00000000
7,CIDO,0x4001_BFF0,32 bits,R,0x0000000D
8,CID1,0x4001_BFF4,32 bits,R,0x000000F0
9,CID2,0x4001_BFF8,32 bits,R,0x00000005
10,CID3,0x4001_BFFC,32 bits,R,0x000000B1
