,Product part number,Package code,Code flash,Data flash,SRAM,Operating temperature
1,R7FA6M1AD3CLJ,PTLG0100JA-A,512KB,8KB,256KB,-40 to +105C
2,R7FA6M1AD3CFP,PLQP0100KB-B,,,,
3,R7FA6M1AD3CFM,PLQP0064KB-C,,,,
4,R7FA6M1AD3CNB,PWQN0064LA-A,,,,
