,Product Category,MPU/MCU,Document No.,TN-RX *- A132A/E,Rev.,1.00,
1,Title,"Expansion of Specification for Block Erasure of Flash Memory, Disclosure of Specification for FRDYI Interrupt, Addition of Description for Memory Planes, and Correction of Electrical Characteristics for RX100 Series",Information Category,Technical Notification,,,
2,Applicable Product,RX110 Group RX111 Group RX113 Group,Reference Document,RX110 Group User's Manual: Hardware Rev.1.10 (R01UH0421EJ0110) RX111 Group User's Manual: Hardware Rev.1.20 (R01UH0365EJ0120) RX113 Group User's Manual: Hardware Rev.1.02 (R01UH0448EJ0102),,,Lot No.
3,,,,,,,All
