,Parameter,Symbol,Value,Min,Typ,Max,Unit
1,Power supply voltages,VCC,When USB/USBHS is not used,2.7,-,3.6,"V
:selected:"
2,,,When USB/USBHS is used,3.0,-,3.6,"V
:selected:"
3,,VSS,,-,0,-,"V
:selected:"
4,USB power supply voltages,"VCC_USB, VCC_USBHS",,-,VCC,-,"V
:selected:"
5,,"VSS_USB, AVSS_USBHS, PVSS_USBHS, VSS1_USBHS, VSS2_USBHS",,-,0,-,"V
:selected:"
6,VBATT power supply voltage,VBATT,,1.8,-,3.6,"V
:selected:"
7,Analog power supply voltages,"AVCC0""1",,-,VCC,-,"V
:selected:"
8,,AVSSO,,-,0,-,"V
:selected:"
