,No,Group,Product part number,Package code
1,101,RL78/G23,R7F100GPK2DFA,PLQP0100J*
2,102,RL78/G23,R7F100GPK3CFA,PLQP0100J*
3,103,RL78/G23,R7F100GPL2DFA,PLQP0100J*
4,104,RL78/G23,R7F100GPL3CFA,PLQP0100J*
5,105,RL78/G23,R7F100GPN2DFA,PLQP0100J*
6,106,RL78/G23,R7F100GPN3CFA,PLQP0100J*
7,107,RL78/G23,R7F100GBF2DNP,PWQN0032K*
8,108,RL78/G23,R7F100GBF3CNP,PWQN0032K*
9,109,RL78/G23,R7F100GBG2DNP,PWQN0032K*
10,110,RL78/G23,R7F100GBG3CNP,PWQN0032K*
11,111,RL78/G23,R7F100GEF2DNP,PWQN0040K*
12,112,RL78/G23,R7F100GEF3CNP,PWQN0040K*
13,113,RL78/G23,R7F100GEG2DNP,PWQN0040K*
14,114,RL78/G23,R7F100GEG3CNP,PWQN0040K*
15,115,RL78/G23,R7F100GGF2DNP,PWQN0048K*
16,116,RL78/G23,R7F100GGF3CNP,PWQN0048K*
17,117,RL78/G23,R7F100GGG2DNP,PWQN0048K*
18,118,RL78/G23,R7F100GGG3CNP,PWQN0048K*
19,119,RL78/G23,R7F100GBH2DNP,PWQN0032K*
20,120,RL78/G23,R7F100GBH3CNP,PWQN0032K*
21,121,RL78/G23,R7F100GBJ2DNP,PWQN0032K*
22,122,RL78/G23,R7F100GBJ3CNP,PWQN0032K*
23,123,RL78/G23,R7F100GEH2DNP,PWQN0040K*
24,124,RL78/G23,R7F100GEH3CNP,PWQN0040K*
25,125,RL78/G23,R7F100GEJ2DNP,PWQN0040K*
26,126,RL78/G23,R7F100GEJ3CNP,PWQN0040K*
27,127,RL78/G23,R7F100GGH2DNP,PWQN0048K*
28,128,RL78/G23,R7F100GGH3CNP,PWQN0048K*
29,129,RL78/G23,R7F100GGJ2DNP,PWQN0048K*
30,130,RL78/G23,R7F100GGJ3CNP,PWQN0048K*
31,131,RL78/G23,R7F100GGK2DNP,PWQN0048K*
32,132,RL78/G23,R7F100GGK3CNP,PWQN0048K*
33,133,RL78/G23,R7F100GGL2DNP,PWQN0048K*
34,134,RL78/G23,R7F100GGL3CNP,PWQN0048K*
35,135,RL78/G23,R7F100GGN2DNP,PWQN0048K*
36,136,RL78/G23,R7F100GGN3CNP,PWQN0048K*
37,137,RL78/G23,R7F100GJF2DFA,PLQP0052J*
38,138,RL78/G23,R7F100GJF3CFA,PLQP0052J*
39,139,RL78/G23,R7F100GJG2DFA,PLQP0052J*
40,140,RL78/G23,R7F100GJG3CFA,PLQP0052J*
41,141,RL78/G23,R7F100GFF2DFP,PLQP0044G*
42,142,RL78/G23,R7F100GFF3CFP,PLQP0044G*
43,143,RL78/G23,R7F100GFG2DFP,PLQP0044G*
44,144,RL78/G23,R7F100GFG3CFP,PLQP0044G*
45,145,RL78/G23,R7F100GLF2DFA,PLQP0064]*
46,146,RL78/G23,R7F100GLF3CFA,PLQP0064J*
47,147,RL78/G23,R7F100GLG2DFA,PLQP0064J*
48,148,RL78/G23,R7F100GLG3CFA,PLQP0064]*
49,149,RL78/G23,R7F100GAF2DSP,PLSP0030J*
50,150,RL78/G23,R7F100GAF3CSP,PLSP0030J*
51,151,RL78/G23,R7F100GAG2DSP,PLSP0030J*
52,152,RL78/G23,R7F100GAG3CSP,PLSP0030J*
53,153,RL78/G23,R7F100GAH2DSP,PLSP0030J*
54,154,RL78/G23,R7F100GAH3CSP,PLSP0030J*
55,155,RL78/G23,R7F100GAJ2DSP,PLSP0030J*
56,156,RL78/G23,R7F100GAJ3CSP,PLSP0030J*
57,157,RL78/G23,R7F100GFH2DFP,PLQP0044G*
58,158,RL78/G23,R7F100GFH3CFP,PLQP0044G*
59,159,RL78/G23,R7F100GFJ2DFP,PLQP0044G*
60,160,RL78/G23,R7F100GFJ3CFP,PLQP0044G*
