,LQFP/QFN 48 -pin,LQFP/QFN 32 -pin,I/O Ports,RA2E1,RA2E3,,
1,,,,ACMPLP,ACMPLP,CTSU,CTSU
2,15,10,P913,-,"-
:unselected:","-
:unselected:","-
:unselected:"
3,16,11,P208,"-
:unselected:","-
:unselected:","-
:unselected:","-
:unselected:"
4,17,12,P207,"-
:unselected:","-
:unselected: :unselected:","-
:unselected:","-
:unselected:"
5,18,-,P206,-,"-
:unselected:","-
:unselected:","-
:unselected:"
6,19,13,-,-,"-
:unselected:","-
:unselected:","-
:unselected:"
7,20,14,P201,-,"-
:unselected:","-
:unselected:","-
:unselected:"
8,21,15,P200,-,"-
:unselected:","-
:unselected:","-
:unselected:"
9,22,-,P302,-,"-
:unselected:",TS8-CFC,"-
:unselected:"
10,23,-,P301,-,"-
:unselected:",TS9-CFC,"-
:unselected:"
11,24,16,P300,-,"-
:unselected:","-
:unselected:","-
:unselected:"
12,25,"17
:selected:",P108,-,-,-,"-
:unselected:"
13,26,18,P109,-,-,TS10-CFC,-
14,27,19,P110,VCOUT,-,TS11-CFC,-
15,28,"-
:unselected:",P111,-,"-
:unselected:",TS12-CFC,-
16,29,20,P112,-,-,TSCAP,"-
:unselected:"
17,30,-,-,-,-,-,"-
:unselected:"
18,31,-,-,-,-,-,"-
:unselected:"
19,32,-,P104,-,-,TS13-CFC,-
20,33,21,P103,CMPREF1,-,TS14-CFC,"-
:unselected:"
21,34,22,P102,CMPIN1,-,TS15-CFC,"-
:unselected:"
22,35,23,P101,CMPREF0,-,TS16-CFC,"-
:unselected:"
23,36,24,P100,CMPIN0,-,TS26-CFC,"-
:unselected:"
24,37,-,P500,-,"-
:unselected:",-,"-
:unselected:"
25,38,25,P015,-,-,TS28-CFC,"-
:unselected:"
26,39,26,P014,-,-,-,-
27,40,27,P013,-,-,TS33-CFC,"-
:unselected:"
28,41,28,P012,-,-,TS32-CFC,-
29,"42
:selected:",29,-,-,"-
:unselected:",-,"-
:unselected:"
30,43,30,-,-,-,-,"-
:unselected:"
31,44,31,P011,-,-,TS31-CFC,-
32,45,32,P010,-,-,TS30-CFC,"-
:unselected:"
33,46,-,P002,-,-,TS23,-
34,47,-,P001,-,-,TS22,-
35,48,-,P000,-,-,TS21,-
