,Product Category,MPU/MCU,Document No.,TN-RA *- A0060A/E,Rev.,1.00,
1,Title,"Correction for ""Arm MPU"" descriptions in RA2 series User's Manual",,Information Category,,,Technical Notification
2,Applicable Product,RA2A1 Group RA2L1 Group RA2E1 Group RA2E2 Group,Lot No. All lots,Reference Document,,,Refer to Table1 as below
