,Product Category,MPU/MCU,Document No.,TN-RA *- A0043A/E,Rev.,1.00
1,Title,"RA6M1 Group, RA6M2 Group, RA6M3 Group, RA6T1 Group, enhancement of HOCO accuracy with FLL",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6M1 Group RA6M2 Group RA6M3 Group All RA6T1 Group,Reference Document,RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.10 RA6M2 Group User's Manual Hardware Rev.1.10 RA6T1 Group User's Manual Hardware Rev.1.00,,
