,Name,Address,Access size,R/W,Initial value
1,PIDR4,4001 BFD0h,32 bits,R,0000 0004h
2,PIDR5,4001 BFD4h,32 bits,R,0000 0000h
3,PIDR6,4001 BFD8h,32 bits,R,0000 0000h
4,PIDR7,4001 BFDCh,32 bits,R,0000 0000h
5,PIDRO,4001 BFE0h,32 bits,R,0000 0005h
6,PIDR1,4001 BFE4h,32 bits,R,0000 0030h
7,PIDR2,4001 BFE8h,32 bits,R,0000 001Ah
8,PIDR3,4001 BFECh,32 bits,R,0000 0000h
9,CIDRO,4001 BFF0h,32 bits,R,0000 000Dh
10,CIDR1,4001 BFF4h,32 bits,R,0000 00F0h
11,CIDR2,4001 BFF8h,32 bits,R,0000 0005h
12,CIDR3,4001 BFFCh,32 bits,R,0000 00B1h
