,Product Category,MPU/MCU,Document No.,TN-UYE-OeFI EURA/O AAARev.,1.00,
1,Title,Change in the User's Manual: Hardware to a Statement Regarding I/O Registers,Information Category,Technical Notification,,
2,Applicable Product,RX63T Group,Reference Document,RX63T Group User's Manual: Hardware Rev.2.10 (R01UH0238EJ0210),,Lot No.
3,,,,,,All lots
