,Product Category,MPU/MCU,Document No.,TN-RA *- A0067A/E,Rev.,1.00,
1,Title,"Correction for ""Clock Generation Circuit"" in RA2L1/RA2E1 User's Manual",,Information Category,,,Technical Notification
2,Applicable Product,RA Family RA2L1/RA2E1 Group,Lot No.,Reference Document,,,"Renesas RA2L1 Group User's Manual: Hardware R01UH0853EJ0120 Rev.1.20 (May 20, 2022) Renesas RA2E1 Group User's Manual: Hardware R01UH0852EJ0120 Rev.1.20 (Feb 4, 2022)"
3,,,All lots,,,,
