,Item,Correction Item,Applicable Page,Contents
1,1-1,8.4.7 Clock error correction register setting procedure,P.309,Precaution added
2,1-2,Figure 8-1. Real-time Clock 2 Diagram,P.281,Incorrect descriptions revised
