,,Applicable Products,Target channel
1,Group 1,"R5F10AME, R5F10AMF, R5F10AMG R5F10ALF, R5F10ALG R5F10BME, R5F10BMF, R5F10BMG R5F10BLC, R5F10BLD, R5F10BLE, R5F10BLF, R5F10BLG, R5F10PME, R5F10PMF R5F10PLE, R5F10PLF",CSI10
2,Group 2,"R5F10PPE, R5F10PPF, R5F10PPG, R5F10PPH, R5F10PPJ R5F10PMG, R5F10PMH, R5F10PMJ R5F10PLG, R5F10PLH, R5F10PLJ R5F10PGG, R5F10PGH, R5F10PGJ",CSI00
