,1 bit,Set value (TQ),Sample point*1(%),,,
1,,SS,,TSEG1,TSEG2,SJW
2,5TQ,1,60.00,2,2,1
3,8TQ,1,62.50,4,3,1
4,,1,75.00,5,2,1
5,10TQ,1,70.00,6,3,1
6,,1,80.00,7,2,1
7,12TQ,1,75.00,8,3,1
8,,1,83.33,9,2,1
9,15TQ,1,73.33,10,4,1
10,,1,80.00,11,3,1
11,16TQ,1,68.75,10,5,1
12,,1,75.00,11,4,1
13,20TQ,1,65.00,12,7,1
14,,1,70.00,13,6,1
15,24TQ,1,66.66,15,8,1
16,,1,70.83,16,7,1
17,50TQ,1,80.00,39,10,4
