,Product Category,MPU/MCU,Document No.,TN-RA *- A0013A/E,Rev.,1.00
1,Title,"RA4M2 Group, RA4M3 Group, RA6M1 Group, RA6M2 Group, RA6M3 Group, RA6M4 Group, RA6T1 Group, VBATT minimum voltage level enhancement",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA4M2 Group RA4M3 Group RA6M1 Group RA6M2 Group RA6M3 Group All RA6M4 Group RA6T1 Group,Reference Document,RA4M2 Group User's Manual Hardware Rev.1.10 RA4M3 Group User's Manual Hardware Rev.1.20 RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.00 RA6M3 Group User's Manual Hardware Rev.1.10 RA6M4 Group User's Manual Hardware Rev.1.10 RA6T1 Group User's Manual Hardware Rev.1.00,,
