,Group,Title,Rev.,Document No.,Chapter of 12c
1,RX610 group,"RX610 group User's Manual, Hardware section",Rev.1.10,R01UH0032EJ0110,22
2,RX62N RX621 group,"RX62N group, RX621 group User's Manual, Hardware section",Rev.1.30,R01UH0033EJ0130,31
3,RX62T group,"RX62T group User's Manual, Hardware section",Rev.1.10,R01UH0034EJ0110,23
4,RX630 group,"RX630 group User's Manual, Hardware section",Rev.1.12,R01UH0040EJ0112,32
5,"RX63N, RX631group","RX63N group, RX631 group User's Manual, Hardware section",Rev.0.9,R01UH0041EJ0090,35
