,Group & Page,Applicable Item,Revised content
1,RA2L1 / p.229,14. Memory Protection Unit (MPU) 14.3 Arm MPU,Deleted Description about Overlap of Arm MPU
2,RA2E1 / p.223,,
3,RA2E2 / p.189,,
4,RA2A1 / p.228,15. Memory Protection Unit (MPU) 15.3 Arm MPU,
