,Product,Package,Code flash,Data flash,SRAM
1,R7FA4M1AB3CFP,PLQP0100KB-B,256KB,8KB,32KB
2,R7FA4M1AB3CFM,PLQP0064KB-C,,,
3,R7FA4M1AB3CNB,PWQN0064LA-A,,,
4,R7FA4M1AB3CFL,PLQP0048KB-B,,,
5,R7FA4M1AB3CNE,PWQN0048KB-A,,,
6,R7FA4M1AB3CNF,PWQN0040KC-A,,,
